City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,bambous virieux,MU,-20.3428,57.7575,78.22,94,40,8.05,scattered clouds
157,scarborough,GB,54.2797,-0.4044,49.64,87,94,13.0,light rain
158,vila velha,BR,-20.3297,-40.2925,89.55,68,20,17.27,few clouds
159,blackwater,AU,-23.5833,148.8833,71.33,84,19,12.28,few clouds
160,ponta do sol,PT,32.6667,-17.1,68.13,64,100,4.9,overcast clouds
161,portland,US,45.5234,-122.6762,49.6,68,75,3.0,broken clouds
162,aykhal,RU,66.0,111.5,-7.44,100,100,2.71,overcast clouds
163,tecoanapa,MX,16.5167,-98.75,83.17,53,23,9.35,few clouds
164,port augusta,AU,-32.5,137.7667,67.33,31,90,5.93,overcast clouds
165,kruisfontein,ZA,-34.0033,24.7314,75.85,70,30,6.87,scattered clouds
166,coquimbo,CL,-29.9533,-71.3436,64.13,77,20,14.97,few clouds
167,khandbari,NP,27.3747,87.2039,62.78,41,3,4.29,clear sky
168,san cristobal,VE,7.7669,-72.225,75.38,85,82,2.59,broken clouds
169,patacamaya,BO,-17.2333,-67.9167,58.59,49,72,8.46,broken clouds
170,nanortalik,GL,60.1432,-45.2371,15.73,72,71,24.54,broken clouds
171,dhankuta,NP,26.9833,87.3333,59.09,41,0,5.99,clear sky
172,chase,CA,50.8165,-119.6857,37.15,75,99,3.15,overcast clouds
173,geraldton,AU,-28.7667,114.6,68.41,94,56,3.44,broken clouds
174,vetlanda,SE,57.4289,15.0776,29.08,63,16,5.1,few clouds
175,chuy,UY,-33.6971,-53.4616,73.65,42,0,11.95,clear sky
176,vostok,RU,46.4856,135.8833,19.4,95,100,5.55,light snow
177,salalah,OM,17.0151,54.0924,80.69,54,0,2.3,clear sky
178,windsor,CA,42.3001,-83.0165,33.96,83,100,3.44,overcast clouds
179,bodden town,KY,19.2833,-81.25,86.0,66,20,13.8,few clouds
180,lata,PT,40.1629,-8.3327,50.02,84,95,4.38,light rain
181,arman,RU,59.7,150.1667,17.02,84,100,5.41,overcast clouds
182,thompson,CA,55.7435,-97.8558,-7.44,59,40,10.36,scattered clouds
183,dikson,RU,73.5069,80.5464,-4.16,95,100,24.49,overcast clouds
184,lerwick,GB,60.1545,-1.1494,44.6,85,76,38.92,broken clouds
185,belaya gora,RU,68.5333,146.4167,-13.81,99,92,2.33,overcast clouds
186,rabaul,PG,-4.1967,152.1721,79.29,79,100,2.42,overcast clouds
187,penzance,GB,50.1186,-5.5371,50.68,87,20,19.57,few clouds
188,san vicente,AR,-26.6167,-54.1333,67.05,100,100,2.15,moderate rain
189,pinawa,CA,50.1489,-95.8811,-1.52,82,100,13.58,overcast clouds
190,wewak,PG,-3.5534,143.6268,78.87,84,100,4.21,overcast clouds
191,kirakira,SB,-10.4544,161.9205,78.67,83,89,3.96,overcast clouds
192,tombouctou,ML,20.0,-3.0,81.82,10,0,11.56,clear sky
193,saldanha,ZA,-33.0117,17.9442,82.45,71,99,9.86,overcast clouds
194,chokurdakh,RU,70.6333,147.9167,-9.53,97,100,5.59,overcast clouds
195,qandala,SO,11.472,49.8728,79.2,67,71,7.27,broken clouds
196,sakaiminato,JP,35.55,133.2333,57.18,72,75,9.22,broken clouds
197,edenderry,IE,53.3453,-7.0497,48.43,91,86,7.36,overcast clouds
198,sinnamary,GF,5.3833,-52.95,79.68,81,83,10.04,broken clouds
199,taoudenni,ML,22.6783,-3.9836,81.37,9,0,13.33,clear sky
200,kaitangata,NZ,-46.2817,169.8464,59.04,64,34,17.74,scattered clouds
201,upernavik,GL,72.7868,-56.1549,-7.53,96,88,7.52,overcast clouds
202,ayagoz,KZ,47.9714,80.4392,16.81,92,100,7.94,overcast clouds
203,parkersburg,US,39.2667,-81.5615,59.34,47,0,5.75,clear sky
204,kudahuvadhoo,MV,2.6708,72.8944,83.17,71,1,8.55,clear sky
205,taksimo,RU,56.3444,114.8794,-8.72,92,48,2.51,scattered clouds
206,iskateley,RU,67.6803,53.1512,24.37,95,100,16.93,light snow
