City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,severo-kurilsk,RU,2022-03-11 06:54:32,50.6789,156.125,30.83,92,100,13.35
108,urumqi,CN,2022-03-11 06:54:33,43.801,87.6005,45.55,61,0,8.95
109,nikolskoye,RU,2022-03-11 06:54:33,59.7035,30.7861,32.88,90,100,8.59
110,kruisfontein,ZA,2022-03-11 06:54:34,-34.0033,24.7314,73.89,59,0,10.92
111,nanortalik,GL,2022-03-11 06:54:34,60.1432,-45.2371,6.51,78,2,12.12
112,hobart,AU,2022-03-11 06:50:06,-42.8794,147.3294,68.02,51,75,8.05
113,marawi,PH,2022-03-11 06:54:34,7.9986,124.2928,76.93,87,97,3.22
114,gold coast,AU,2022-03-11 06:54:35,-28.0,153.4333,75.24,85,78,5.99
115,cap-haitien,HT,2022-03-11 06:54:35,19.7578,-72.2042,75.78,82,70,9.89
116,poum,NC,2022-03-11 06:54:35,-20.2333,164.0167,82.04,74,10,19.6
117,darab,IR,2022-03-11 06:54:36,28.7519,54.5444,76.05,26,100,10.02
118,keti bandar,PK,2022-03-11 06:54:36,24.1447,67.4497,88.02,35,0,5.61
119,wewak,PG,2022-03-11 06:54:36,-3.5534,143.6268,83.5,75,54,6.04
120,faanui,PF,2022-03-11 06:54:37,-16.4833,-151.75,80.78,73,0,10.6
121,pevek,RU,2022-03-11 06:54:37,69.7008,170.3133,-0.62,83,25,4.85
122,qaanaaq,GL,2022-03-11 06:54:37,77.484,-69.3632,-10.89,79,29,6.82
123,lensk,RU,2022-03-11 06:54:38,60.7253,114.9278,9.19,78,100,8.77
124,awjilah,LY,2022-03-11 06:54:38,29.1081,21.2869,51.33,48,46,6.2
125,mehamn,NO,2022-03-11 06:54:38,71.0357,27.8492,39.15,75,75,33.38
126,chokurdakh,RU,2022-03-11 06:54:38,70.6333,147.9167,-8.63,99,100,3.4
127,fortuna,US,2022-03-11 06:54:39,40.5982,-124.1573,41.92,90,0,0.0
128,dikson,RU,2022-03-11 06:54:40,73.5069,80.5464,-8.88,93,100,21.5
129,aleksandrov gay,RU,2022-03-11 06:54:40,50.147,48.5704,19.13,91,100,15.3
130,nemuro,JP,2022-03-11 06:54:41,43.3236,145.575,35.26,87,100,18.37
131,diglur,IN,2022-03-11 06:54:41,18.55,77.6,93.4,23,5,5.95
132,wana,PK,2022-03-11 06:54:41,32.2989,69.5725,69.75,30,4,5.26
133,tiznit,MA,2022-03-11 06:54:42,29.5833,-9.5,48.99,72,0,1.05
134,talnakh,RU,2022-03-11 06:54:42,69.4865,88.3972,-12.8,95,60,8.23
135,miles city,US,2022-03-11 06:54:42,46.4083,-105.8406,10.83,69,100,10.38
136,bardiyah,LY,2022-03-11 06:54:43,31.7561,25.0865,52.72,57,100,14.52
137,ribeira grande,PT,2022-03-11 06:54:43,38.5167,-28.7,58.28,69,100,17.13
138,creel,MX,2022-03-11 06:54:43,27.75,-107.6333,29.8,28,0,7.27
139,lavrentiya,RU,2022-03-11 06:54:44,65.5833,-171.0,8.46,74,0,13.67
140,taft,IR,2022-03-11 06:54:44,31.7471,54.2088,76.95,18,75,18.41
141,barrow,US,2022-03-11 06:54:44,71.2906,-156.7887,-14.62,96,44,7.87
142,saldanha,ZA,2022-03-11 06:54:45,-33.0117,17.9442,68.05,60,100,3.15
143,hilpoltstein,DE,2022-03-11 06:54:45,49.19,11.1886,32.4,57,37,9.66
144,rundu,NA,2022-03-11 06:54:46,-17.9333,19.7667,68.13,88,95,5.97
145,souillac,MU,2022-03-11 06:54:46,-20.5167,57.5167,84.58,74,40,8.05
146,arosa,CH,2022-03-11 06:54:47,46.7779,9.6762,25.27,89,99,9.42
147,maniitsoq,GL,2022-03-11 06:54:47,65.4167,-52.9,-10.64,94,61,5.5
148,provideniya,RU,2022-03-11 06:54:47,64.3833,-173.3,13.15,61,0,15.75
149,mae hong son,TH,2022-03-11 06:54:48,19.3003,97.9685,95.14,43,20,3.44
150,vila velha,BR,2022-03-11 06:54:48,-20.3297,-40.2925,72.95,95,0,1.14
151,wajima,JP,2022-03-11 06:54:49,37.4,136.9,56.08,43,0,23.02
152,struer,DK,2022-03-11 06:54:49,56.4912,8.5838,35.01,79,11,17.07
153,fort saint james,CA,2022-03-11 06:54:50,54.4333,-124.25,24.33,98,100,2.42
154,college,US,2022-03-11 06:54:50,64.8569,-147.8028,0.99,90,50,6.8
155,iqaluit,CA,2022-03-11 06:54:50,63.7506,-68.5145,-11.47,84,75,17.27
156,ndele,CF,2022-03-11 06:54:51,8.4109,20.6473,87.35,34,100,2.3
157,katsuura,JP,2022-03-11 06:54:51,35.1333,140.3,62.62,58,43,21.45
158,tahlequah,US,2022-03-11 06:54:51,35.9154,-94.97,32.22,69,100,13.8
159,davila,PH,2022-03-11 06:54:51,18.4726,120.5763,87.78,76,76,18.75
160,novyye burasy,RU,2022-03-11 06:54:52,52.1324,46.0714,13.62,90,93,14.16
161,vao,NC,2022-03-11 06:54:52,-22.6667,167.4833,79.12,78,9,11.72
162,naryan-mar,RU,2022-03-11 06:53:40,67.6713,53.087,16.66,93,100,20.76
163,quatre cocos,MU,2022-03-11 06:54:53,-20.2078,57.7625,86.09,76,27,12.71
164,murmashi,RU,2022-03-11 06:54:53,68.8154,32.8115,32.41,80,0,7.0
165,hilo,US,2022-03-11 06:54:53,19.7297,-155.09,73.26,97,32,1.99
166,wabrzezno,PL,2022-03-11 06:54:54,53.2799,18.9477,28.06,35,8,10.11
167,pauini,BR,2022-03-11 06:54:54,-7.7136,-66.9764,71.55,99,78,1.86
168,smithers,CA,2022-03-11 06:50:07,54.7804,-127.1743,30.52,86,100,0.0
169,chama,CH,2022-03-11 06:54:54,47.1821,8.4636,35.47,86,0,0.0
170,micheweni,TZ,2022-03-11 06:54:54,-4.9667,39.8333,82.85,69,100,8.41
171,vestmannaeyjar,IS,2022-03-11 06:54:55,63.4427,-20.2734,46.85,81,100,36.73
172,saint george,US,2022-03-11 06:54:55,37.1041,-113.5841,38.62,29,0,19.57
173,tasiilaq,GL,2022-03-11 06:54:55,65.6145,-37.6368,24.04,89,100,11.86
174,bjerkvik,NO,2022-03-11 06:54:56,68.5597,17.5189,37.22,92,100,5.75
175,raudeberg,NO,2022-03-11 06:54:56,61.9875,5.1352,45.27,64,4,12.97
176,bathsheba,BB,2022-03-11 06:54:57,13.2167,-59.5167,77.61,78,20,20.71
177,castro,BR,2022-03-11 06:54:57,-24.7911,-50.0119,64.4,98,100,1.97
178,pringsewu,ID,2022-03-11 06:54:57,-5.3582,104.9744,86.43,71,100,1.92
179,kodinsk,RU,2022-03-11 06:54:58,58.6881,99.1844,7.36,76,100,5.55
180,wangaratta,AU,2022-03-11 06:54:58,-36.3667,146.3333,80.31,34,40,4.61
181,mar del plata,AR,2022-03-11 06:54:23,-38.0023,-57.5575,60.82,80,20,5.99
182,great falls,US,2022-03-11 06:54:59,47.5002,-111.3008,9.66,71,0,9.22
183,benguela,AO,2022-03-11 06:54:59,-12.5763,13.4055,78.85,81,80,0.92
184,esperance,AU,2022-03-11 06:54:59,-33.8667,121.9,87.64,55,5,20.56
185,georgetown,MY,2022-03-11 06:53:44,5.4112,100.3354,89.53,74,20,10.36
186,lebu,CL,2022-03-11 06:55:00,-37.6167,-73.65,55.49,93,6,16.98
187,erzin,TR,2022-03-11 06:55:00,36.9559,36.2,43.56,87,100,13.27
188,epe,NG,2022-03-11 06:55:00,6.5841,3.9834,82.42,76,71,2.71
189,emerald,AU,2022-03-11 06:52:02,-23.5333,148.1667,95.14,34,40,8.05
190,aylesbury,GB,2022-03-11 06:55:01,51.8167,-0.8146,49.28,88,100,16.58
191,cartagena,CO,2022-03-11 06:55:01,10.3997,-75.5144,78.42,89,0,4.61
192,maragogi,BR,2022-03-11 06:55:02,-9.0122,-35.2225,77.61,79,32,5.82
193,maltahohe,NA,2022-03-11 06:55:02,-24.8333,16.9833,75.58,54,40,14.92
194,lagoa,PT,2022-03-11 06:55:03,39.05,-27.9833,57.4,63,100,19.15
195,sitka,US,2022-03-11 06:55:03,57.0531,-135.33,36.32,96,100,6.82
196,carnarvon,AU,2022-03-11 06:55:04,-24.8667,113.6333,87.87,62,0,14.97
197,lorengau,PG,2022-03-11 06:55:04,-2.0226,147.2712,82.83,75,100,6.58
198,neuquen,AR,2022-03-11 06:55:05,-38.9516,-68.0591,58.89,58,0,6.91
199,yei,SS,2022-03-11 06:55:05,4.095,30.6779,88.52,30,100,8.55
200,wamba,NG,2022-03-11 06:55:06,8.9333,8.6,81.5,20,99,3.15
201,aklavik,CA,2022-03-11 06:55:06,68.2191,-135.0107,-26.52,100,100,1.83
202,ilulissat,GL,2022-03-11 06:55:07,69.2167,-51.1,-16.64,96,99,5.08
203,barela,IN,2022-03-11 06:55:07,23.1,80.05,86.81,37,1,6.91
204,segovia,ES,2022-03-11 06:55:07,41.1667,-4.0,43.43,84,100,5.53
205,lompoc,US,2022-03-11 06:51:29,34.6391,-120.4579,53.85,88,0,6.91
206,petatlan,MX,2022-03-11 06:55:08,17.5167,-101.2667,69.44,75,0,3.96
207,east millcreek,US,2022-03-11 06:55:08,40.7,-111.8105,21.33,65,0,0.0
208,kostino,RU,2022-03-11 06:55:08,58.9097,53.2691,11.57,81,84,4.5
209,amio,PH,2022-03-11 06:55:09,9.3571,122.9413,84.7,70,100,0.98
210,lagunas,PE,2022-03-11 06:55:09,-5.2269,-75.6753,72.07,100,100,1.92
211,tselinnoye,RU,2022-03-11 06:55:09,53.0833,85.6667,11.91,83,47,4.7
212,dalby,AU,2022-03-11 06:55:10,-27.1833,151.2667,76.64,64,56,14.52
213,kyaka,TZ,2022-03-11 06:55:10,-1.2522,31.4203,75.02,55,96,3.27
214,grand gaube,MU,2022-03-11 06:55:11,-20.0064,57.6608,86.38,71,9,10.0
215,clifton,US,2022-03-11 06:55:11,40.8584,-74.1638,40.62,79,40,3.44
216,roebourne,AU,2022-03-11 06:55:11,-20.7833,117.1333,96.42,36,0,13.33
217,lasem,ID,2022-03-11 06:55:12,-6.6922,111.4527,85.12,73,31,10.6
218,gashua,NG,2022-03-11 06:55:12,12.871,11.0482,74.19,25,71,13.85
219,patan,NP,2022-03-11 06:55:12,27.6667,85.3333,75.58,33,20,3.44
220,shache,CN,2022-03-11 06:55:13,38.4167,77.2406,62.76,15,71,3.6
221,cockburn town,TC,2022-03-11 06:55:13,21.4612,-71.1419,77.13,81,6,18.43
222,baijiantan,CN,2022-03-11 06:55:13,45.6333,85.1833,42.53,62,97,8.88
223,upernavik,GL,2022-03-11 06:55:14,72.7868,-56.1549,-12.32,89,100,4.5
224,taguatinga,BR,2022-03-11 06:55:14,-12.3857,-46.5711,70.47,91,59,2.08
225,flinders,AU,2022-03-11 06:55:14,-34.5833,150.8552,72.68,64,57,6.46
226,ginir,ET,2022-03-11 06:55:15,7.1333,40.7,70.93,29,95,7.34
227,loutra,GR,2022-03-11 06:55:15,39.0569,26.545,34.5,64,40,9.22
228,nusaybin,TR,2022-03-11 06:55:16,37.0778,41.2178,45.99,87,75,6.91
229,dingle,PH,2022-03-11 06:55:16,10.9995,122.6711,86.88,66,75,10.58
230,athabasca,CA,2022-03-11 06:55:16,54.7169,-113.2854,-14.39,100,72,4.23
231,north platte,US,2022-03-11 06:55:17,41.1239,-100.7654,9.37,76,3,7.0
232,port townsend,US,2022-03-11 06:50:30,48.117,-122.7605,42.15,75,100,1.99
233,sao joao da barra,BR,2022-03-11 06:55:17,-21.6403,-41.0511,75.54,90,0,11.25
234,kribi,CM,2022-03-11 06:55:17,2.95,9.9167,80.47,83,100,6.4
235,luderitz,NA,2022-03-11 06:55:18,-26.6481,15.1594,74.28,66,0,1.97
236,san antonio,US,2022-03-11 06:52:15,29.4241,-98.4936,64.85,76,100,6.91
237,lichinga,MZ,2022-03-11 06:55:18,-13.3128,35.2406,68.72,80,100,2.53
